Material,Density,SchNet,GemNet,MEGNet,CatBoost,Sparse (MEGNet)
combined,both,"(186.96153134800642, 75.50372135673273)","(190.87352751659125, 38.40272892611173)","(109.61791762235764, 2.6844380527683738)","(106.3346007330736, 0.9737249923760676)","(105.09958197468754, 2.249661877124027)"
BP,high,"(213.09546766550002, 16.500754464739025)","(166.36610096416672, 10.07420660108786)","(161.550002725, 4.289116531928185)","(153.8421983494012, 2.775118353855183)","(183.1985150166667, 8.619709876033301)"
GaSe,high,"(277.02141072499995, 27.468751900387296)","(224.868309425, 8.650881606871332)","(199.82398369999999, 7.288726482865591)","(191.5563026492342, 1.8162810772869584)","(196.43030549999997, 11.234709893212266)"
InSe,high,"(190.61420694166668, 22.513340656507847)","(160.96446794166673, 11.399510967175896)","(154.06520763333333, 7.734535807068674)","(152.99282649214985, 2.9234660244758195)","(153.7784700583333, 10.852892583980866)"
MoS2,high,"(181.51690589818503, 84.55500061512653)","(240.29940157425, 141.57167844694433)","(57.93590916416668, 4.454744016121554)","(76.90998706746282, 3.603030285667888)","(44.61658382166669, 4.318642901129745)"
WSe2,high,"(141.48652388433334, 158.32743604648022)","(428.76004018858333, 136.45044840519188)","(47.08333739333333, 3.3526316407791006)","(63.10980319747365, 2.3698862830085843)","(43.31798722966668, 2.416748559427769)"
h-BN,high,"(206.66763721500004, 23.789283738085235)","(188.54198993166668, 2.230559419085184)","(198.44393734166667, 7.8493392106087825)","(170.14203196025568, 2.5902642768834894)","(207.57146928083333, 15.930801276312124)"
MoS2,low,"(105.53402110103991, 120.90667990029038)","(46.201708174184944, 40.98873656966064)","(25.896085439151214, 3.7055582996437075)","(24.509488369770736, 0.8335008282239204)","(4.987939637015177, 0.29232188439181916)"
WSe2,low,"(179.7112377424115, 183.82323417423143)","(70.85236088181563, 31.582431495333484)","(32.063328742973596, 3.9922443266126533)","(17.527888413587064, 0.8261640397593326)","(6.795056835581789, 0.3907270591194934)"
